timestamp,block_height,bits,transaction_count,block_size
2022-05-15 23:57:07.000000 UTC,1669074,1c012b6d,2,2916
2022-05-15 23:56:35.000000 UTC,1669073,1c012667,2,3885
2022-05-15 23:55:42.000000 UTC,1669072,1c012424,2,1924
2022-05-15 23:54:29.000000 UTC,1669071,1c012b6a,6,3777
2022-05-15 23:52:26.000000 UTC,1669070,1c012c44,1,1714
2022-05-15 23:51:47.000000 UTC,1669069,1c012b21,1,1714
2022-05-15 23:50:20.000000 UTC,1669068,1c012d41,3,3529
2022-05-15 23:47:58.000000 UTC,1669067,1c01264b,2,3885
2022-05-15 23:46:36.000000 UTC,1669066,1c0120e0,1,1714
2022-05-15 23:46:18.000000 UTC,1669065,1c01218f,1,1723
2022-05-15 23:46:12.000000 UTC,1669064,1c011721,1,1714
2022-05-15 23:45:50.000000 UTC,1669063,1c01134b,2,1959
2022-05-15 23:44:12.000000 UTC,1669062,1c0118e3,7,11083
2022-05-15 23:41:55.000000 UTC,1669061,1c011acb,1,1693
2022-05-15 23:39:58.000000 UTC,1669060,1c011ff3,1,1693
2022-05-15 23:39:54.000000 UTC,1669059,1c0125ae,5,7601
2022-05-15 23:35:17.000000 UTC,1669058,1c012472,2,1925
2022-05-15 23:33:46.000000 UTC,1669057,1c011bf5,2,2225
2022-05-15 23:32:42.000000 UTC,1669056,1c012250,2,2106
2022-05-15 23:31:46.000000 UTC,1669055,1c012092,3,2182
2022-05-15 23:31:31.000000 UTC,1669054,1c011c75,1,1714
2022-05-15 23:30:55.000000 UTC,1669053,1c011c90,3,2215
2022-05-15 23:29:36.000000 UTC,1669052,1c011fec,4,2426
2022-05-15 23:26:24.000000 UTC,1669051,1c011c97,2,4087
2022-05-15 23:25:27.000000 UTC,1669050,1c0122a8,1,1693
2022-05-15 23:24:40.000000 UTC,1669049,1c01241e,3,2182
2022-05-15 23:21:57.000000 UTC,1669048,1c01257f,3,3194
2022-05-15 23:21:20.000000 UTC,1669047,1c01255b,1,1721
2022-05-15 23:21:06.000000 UTC,1669046,1c01275a,5,4147
2022-05-15 23:18:30.000000 UTC,1669045,1c012796,1,1714
2022-05-15 23:18:13.000000 UTC,1669044,1c012c3e,1,2671
2022-05-15 23:17:56.000000 UTC,1669043,1c012a36,1,1699
2022-05-15 23:17:45.000000 UTC,1669042,1c012610,4,16869
2022-05-15 23:16:33.000000 UTC,1669041,1c0126bf,1,1714
2022-05-15 23:16:27.000000 UTC,1669040,1c012f55,5,6030
2022-05-15 23:14:01.000000 UTC,1669039,1c012910,3,3415
2022-05-15 23:12:49.000000 UTC,1669038,1c012e18,4,4550
2022-05-15 23:11:15.000000 UTC,1669037,1c01314e,5,29426
2022-05-15 23:08:53.000000 UTC,1669036,1c0132e4,3,2202
2022-05-15 23:08:01.000000 UTC,1669035,1c013224,3,2168
2022-05-15 23:07:39.000000 UTC,1669034,1c013458,4,2540
2022-05-15 23:04:59.000000 UTC,1669033,1c0132a6,1,1733
2022-05-15 23:04:54.000000 UTC,1669032,1c013572,1,1714
2022-05-15 23:03:42.000000 UTC,1669031,1c013977,1,1708
2022-05-15 23:03:27.000000 UTC,1669030,1c01400f,4,15401
2022-05-15 23:02:32.000000 UTC,1669029,1c01463b,4,4195
2022-05-15 23:01:15.000000 UTC,1669028,1c0140d4,5,2758
2022-05-15 22:59:30.000000 UTC,1669027,1c0146df,3,7180
2022-05-15 22:59:07.000000 UTC,1669026,1c014664,1,1714
2022-05-15 22:58:52.000000 UTC,1669025,1c0148d6,2,2853
2022-05-15 22:58:09.000000 UTC,1669024,1c01494a,1,1720
2022-05-15 22:57:57.000000 UTC,1669023,1c014486,3,11735
2022-05-15 22:55:52.000000 UTC,1669022,1c014b5c,2,1938
2022-05-15 22:53:48.000000 UTC,1669021,1c0149d0,2,2367
2022-05-15 22:53:15.000000 UTC,1669020,1c014fe4,3,2147
2022-05-15 22:52:32.000000 UTC,1669019,1c0153b8,1,1720
2022-05-15 22:52:00.000000 UTC,1669018,1c0156c5,4,5855
2022-05-15 22:49:39.000000 UTC,1669017,1c0152d5,1,1693
2022-05-15 22:49:08.000000 UTC,1669016,1c01506d,1,1714
2022-05-15 22:48:10.000000 UTC,1669015,1c0150d1,3,2612
2022-05-15 22:46:33.000000 UTC,1669014,1c01532e,2,1965
2022-05-15 22:46:20.000000 UTC,1669013,1c014af0,1,1693
2022-05-15 22:46:10.000000 UTC,1669012,1c014dde,3,2169
2022-05-15 22:44:44.000000 UTC,1669011,1c01548e,1,1714
